title,slug,price,old_price,category_id,sub_category,main_image,other_images,description
Mocallure 5 Fold Eyeshadow Book Palette,Mocallure 5 Fold Eyeshadow Book Palette,4000,6000,Cosmetics,Makeup Kit,book1.jpeg,"book2.jepg,book3.jepg,book4.jepg,book5.jepg,book6.jepg","Mocallure 5 Fold Eyeshadow Book Palette
Unleash Your Inner Artist with Our All-in-One Makeup Book Palette!
Elevate your beauty routine with our stunning 5-page makeup palette, designed for effortless glam from day to night!
Whether you're a makeup pro or just starting out, this versatile palette has
everything you need:
Eye shadow: Create endless eye looks with our rich, blendable shades.
Highlighter: Achieve a radiant glow with our luminous highlighter.
Blush: Add a pop of color to your cheeks for a fresh, youthful look.
Concealer: Perfect your complexion with our creamy, full-coverage
concealer.
Lipstick: Complete your look with a bold, long-lasting lipstick.
This all-in-one palette is your go-to for every occasion. Compact and travel-friendly, it fits effortlessly into your purse or makeup bag."
"Mocallure Viral 5 Pages New Version
Butterfly Makeup Book","Mocallure Viral 5 Pages New Version
Butterfly Makeup Book",3900,6000,Cosmetics,Makeup Kit,butterfly1.jpeg,"butterfly2.jpeg, butterfly3.jpeg, butterfly4.jpeg, butterfly5.jpeg, butterfly6.jpeg",
IKT Hair Wax Stick 75gm,IKT Hair Wax Stick 75gm,1170,3000,Hair care,0,ikt.jpeg,ikt1.png,
FV SK Forever Red Ginseng Flawless Foundation,FV SK Forever Red Ginseng Flawless Foundation,999,3000,Cosmetics,Foundation,fv2.jpeg,fv1.png,
Mocallure 5 in 1 Makeup Book Palette - Complete Beauty in One,Mocallure 5 in 1 Makeup Book Palette - Complete Beauty in One,3700,6000,Cosmetics,Makeup Kit,book_1.jpeg,"book_2.jpeg, book_3.jpeg, book_4.jpeg, book_5.jpeg",
Dewy Cheek and Lip Blush Stick Balm,Dewy Cheek and Lip Blush Stick Balm,600,1200,Cosmetics,Blush,dewy1.jpeg,"dewy2.jpeg, dewy3.mp4",
New MocAllure Makeup Look Book 5 Page Kit,New MocAllure Makeup Look Book 5 Page Kit,3700,6000,Cosmetics,Makeup Kit,page1.jpeg,"page2.jpeg, page3.jpeg, page4.jpeg, page5.jpeg, page6.jpeg",
Sunisa Foundation Base Waterproof Mushroom Head Air Cushion,Sunisa Foundation Base Waterproof Mushroom Head Air Cushion,999,1500,Cosmetics,Foundation,head1.png,head2.jpg,
12 Colors Handaiyan Matte Liquid Lipstick Set,12 Colors Handaiyan Matte Liquid Lipstick Set,1999,3000,Cosmetics,lip Gloss,lip1.png,lip2.png,
ICONIC LONDON Illuminator,ICONIC LONDON Illuminator,600,1000,Cosmetics,Highlighter,ico1.png,ico2.png,"DROP EVERYTHING It's the must have product everyone is raving about - from Khloe Kardashian to Jourdan Dunn - get your glow on with our incredible vegan Illuminator drops.
Shade : GLOW: A terracotta toned shimmer that bestows a rich bronze glow
Whether worn alone as an enhancer, or mixed with your foundation, primer or moisturiser to create a 'soft focus' effect, this lends light to dulled, lacklustre complexions, and looks stunning when blended along cheek and brow bones to accentuate the 'high points' of your face
Prep your skin with our RETEXTURISING FACE PRIMER and PIGMENT FOUNDATION STICKS Add drops of your Illuminator to cheekbones, tip of nose, collarbones and cupids bow
This super-versatile product can be added to many products in your makeup bag for a touch of luxe 
Product details
Package Dimensions : 10 x 10 x 4 cm; 200 Grams
Manufacturer : ICONIC LONDON
Country of Origin : Italy
Manufacturer : ICONIC LONDON
Item Weight : 200 g
Net Quantity : 1 count"
Gentle Cleansing & Make-up Removal,Gentle Cleansing & Make-up Removal,950,1500,Cosmetics,Makeup Removal,gentle1.jpeg,gentle2.jpeg,
Veze Styling Head Oil Gel 2-In-1 Hair Styling,Veze Styling Head Oil Gel 2-In-1 Hair Styling,1800,2500,Hair care,0,gel1.jpg,gel2.jpg,"Styling Head Oil Gel 2-in-1 Hair Wax Wax 280ml Mens Hair Styling Tools Gel Strong Hold Hair Styling Gel Spray Gelnature:This pomade is easy to color and wash, with a lasting fresh smell that doesn’t damage hair and isn’t greasy. Natural and comfortable: ingredients contain plant extracts, no scalp irritation, environmentally friendly and harmless to your health.
Specifications:
Name: 2-In-1 Hair Waxing Wax Gel Comb
Applicable people: men
Specifications: normal
Shelf life: 3 years
Hair styling supplies: gel
Net content: 280ml
Packing list:
1 * styling gel
Note:
Due to manual measurement, there is a slight difference. Be patient with product sizes.
Due to lighting and camera angles, there are color differences in the product, please understand."
ME-ON Vitamin C Glow Boosting Cream 50g,ME-ON Vitamin C Glow Boosting Cream 50g,1449,2300,Skin Care,0,vitc1.png,vitc2.png,"Face Cream suitable for all skin types

Instantly combats a dull skin tone and reduces dark spots when used regularly

The lightweight and non-oily formula instantly penetrates the skin to give you an instant glow and fade dark spots."
ME-ON Glycolic Bright Glowing Cream with SPF 30 Brightening,ME-ON Glycolic Bright Glowing Cream with SPF 30 Brightening,1449,2300,Skin Care,0,bright1.jpg,bright2.jpg,"Brighten & Protect Your Skin with ME-ON Glycolic Bright Glowing Cream SPF 30

Unveil a more radiant complexion with ME-ON Glycolic Bright Glowing Cream, infused with Glycolic Acid and SPF 30 for dual-action performance: skin brightening and sun protection. This gentle cream exfoliates dead skin cells, reduces dark spots, and improves texture—while shielding your skin from harmful UV rays."
MEON Aqua Blast Moisturizer,MEON Aqua Blast Moisturizer,1449,2300,Skin Care,0,aqua2.png,aqua1.png,
ME-ON Glycolin Bright Face Serum Glowing,ME-ON Glycolin Bright Face Serum Glowing,1779,2499,Skin Care,0,bright_1.png,,
ME-ON Hyaluronic Acid Serum with Anti Wrinkle Formula,ME-ON Hyaluronic Acid Serum with Anti Wrinkle Formula,1779,2499,Skin Care,0,acid1.jpg,acid2.jpg,"When applied on skin is proven to act on hyperpigmentation, dark spots, oxidative damage like wrinkles, and provide a boost to the natural glow of your skin.
This face serum is thoughtfully formulated for targeted efficacy, safety and all-round results.
No artificial colors, fragrances or essential oils added!
100% vegan, paraben-free, phthalate-free as always"
2-in-1 ME-ON Rice Water and Niacinamide serum & Face-Wash,2-in-1 ME-ON Rice Water and Niacinamide serum & Face-Wash,2500,3500,Skin Care,0,rice1.jpeg,,
Keratin Nutrition Moisturizing & Smooth Hair Growth Shampoo 900ml (XL),Keratin Nutrition Moisturizing & Smooth Hair Growth Shampoo 900ml (XL),2199,3500,Hair Care,0,shampoo1.png,shampoo2.png,"Keratin Nutrition Moisturizing & Smooth Hair Growth Shampoo 900ml is a powerful and effective daily routine solution for stronger and longer hair. 

It is infused with keratin protein
Smoothes the hair cuticles and strengthens weak hair
Repairs damage and reduces breakage
Delivers deep moisturization with moisturizing agents
Hydrates each strand from roots to tip
Leaves hair soft, detangled, and more manageable
Supports healthy hair growth"
Keratin Queen Moisturizing Protein Brazilian Shampoo Silicon & Paraben Free 800ml,Keratin Queen Moisturizing Protein Brazilian Shampoo Silicon & Paraben Free 800ml,2999,3600,Hair Care,0,protein1.png,,
Keratin Queen Moisturizing Protein Brazilian Hair Mask Sulfate Free 1000ml,Keratin Queen Moisturizing Protein Brazilian Hair Mask Sulfate Free 1000ml,2999,3600,Hair Care,0,mask1.png,,
Keratin Creamy Hair Mask Moisturizing & Smooth 1000ml,Keratin Creamy Hair Mask Moisturizing & Smooth 1000ml,2199,3000,Hair Care,0,creamy1.jpeg,creamy2.png,
Keratin Hair Serum,Keratin Hair Serum,1349,2200,Hair Care,0,serum1.png,,
Keratin Nutrition Hair Serum,Keratin Nutrition Hair Serum,1500,2200,Hair Care,0,argan1.jpeg,,"Transform your hair care routine with the Keratin Nutrition Hair Serum with Argan Oil, a nourishing serum designed to repair, strengthen, and add shine to damaged or frizzy hair. Enriched with keratin and pure argan oil, this lightweight serum penetrates deeply to restore hair’s natural smoothness and vitality, leaving it soft, manageable, and radiant.

The keratin in the serum helps to rebuild damaged hair fibers, reducing breakage and split ends, while argan oil provides intense hydration, smooths frizz, and adds a healthy, glossy finish. Perfect for all hair types, this serum works as a leave-in treatment to protect hair from heat styling, environmental damage, and everyday wear.

Key Features & Benefits:

Keratin-Enriched Formula – Strengthens and repairs damaged hair from root to tip.

Argan Oil Hydration – Deeply nourishes hair, reduces frizz, and adds natural shine.

Smooth & Manageable Hair – Makes hair soft, silky, and easy to style.

Lightweight & Non-Greasy – Absorbs quickly without weighing hair down.

Heat Protection – Shields hair from damage caused by blow dryers, straighteners, or curling irons.

Suitable for All Hair Types – Effective on straight, wavy, curly, or chemically treated hair."
CHIRS’S Professional Brazilian Keratin Shampoo 400ml,CHIRS’S Professional Brazilian Keratin Shampoo 400ml,1399,2300,Hair Care,0,blue1.png,blue2.png,
Chris's Professional Brazilian Keratin Hair Serum - 100ml,Chris's Professional Brazilian Keratin Hair Serum - 100ml,1349,2300,Hair Care,0,pro1.png,pro2.png,
Chirs's Whitening Day 50g,Chirs's Whitening Day 50g,1499,1999,Skin Care,0,day1.jpeg,,
Chirs's Whitening night 50g,Chirs's Whitening night 50g,1499,1999,Skin Care,0,night1.png,,
Chirs's Rice Serum 30ml,Chirs's Rice Serum 30ml,999,1699,Skin Care,0,raw1.png,raw2.png,"Revitalize your skin with Chirs’s Rice Serum, a luxurious, nutrient-rich formula that nourishes, brightens, and hydrates for a glowing, youthful complexion. Packed with the natural benefits of rice extract, this lightweight serum is designed to target dullness, uneven skin tone, and fine lines, while promoting smoothness and radiance. Ideal for all skin types, it helps restore your skin's natural vitality, leaving it soft, luminous, and rejuvenated."
Chirs's Nicotinamide Facial Serum - 30ml,Chirs's Nicotinamide Facial Serum - 30ml,999,1699,Skin Care,0,facial1.jpeg,facial2.jpeg,
Chirs's Vitamin C Facial Serum,Chirs's Vitamin C Facial Serum,999,1699,Skin Care,0,orange1.png,orange2.png,
Chirs's Beauty Of Face 7 Days Quick Whitening Serum 30 ml,Chirs's Beauty Of Face 7 Days Quick Whitening Serum 30 ml,999,1699,Skin Care,0,whitening1.png,whitening2.png,"Chris’s Whitening Serum is a powerful yet gentle skincare formula designed to brighten and even out skin tone, giving you a radiant, youthful complexion. Infused with a blend of natural brightening agents, such as Vitamin C, Niacinamide, and Licorice Extract, this serum helps reduce the appearance of dark spots, pigmentation, and sun damage while boosting skin clarity and glow. Its lightweight, fast-absorbing formula hydrates and nourishes the skin, leaving it soft and refreshed. Suitable for all skin types, Chris’s Whitening Serum can be used daily as part of your skincare routine to achieve a brighter, more luminous complexion.

Key Benefits:

Fades dark spots and hyperpigmentation
Brightens and evens skin tone
Lightweight, non-greasy formula
Suitable for all skin types
Infused with antioxidants for skin protection"
"
Spa Line Hair Heat Protector Spray 200ml","
Spa Line Hair Heat Protector Spray 200ml",1499,1999,Hair Care,0,spa1.png,spa2.png,
Spa Line Strong Hold Hair Spray,Spa Line Strong Hold Hair Spray,999,1399,Hair Care,0,spray1.png,,
Spa Line Keratin Hair Styling Mousse Strong Hold Volume 250ml,Spa Line Keratin Hair Styling Mousse Strong Hold Volume 250ml,1199,1499,Hair Care,0,mouse1.png,mouse2.png,"Key Features and Benefits

Strong Hold: The mousse provides a lasting hold for styles, such as curls, waves, and updos, without leaving the hair stiff or flaky.

Keratin Infusion: Keratin is a protein that helps to strengthen, repair, and smooth hair, which can reduce breakage and frizz. The keratin in the mousse helps to add strength and shine.

Volume and Body: It is designed to add volume and lift to the hair from the root, making it a good choice for creating full, lifted styles.

Lightweight Formula: The product is described as lightweight, non-greasy, and fast-drying, so it won't weigh hair down or leave behind residue.

Frizz Control: It helps to tame frizz and boost volume, giving hair a smooth and polished finish. 

How to Use
Hair mousse should always be applied to damp, towel-dried hair. It is intended to be the first step in the styling process to prep the hair for other products or heat tools. Using mousse on dry hair can make it look matted or dull. The Spa Line Keratin Hair Mousse is a styling product designed to give hair a strong hold while also providing nourishing benefits. The mousse is formulated with keratin to help strengthen and add shine to the hair."
Spa Line Keratin Care Hair Shampoo,Spa Line Keratin Care Hair Shampoo,2599,2999,Hair Care,0,spashampoo1.png,,
"Spa Line Protein Brazilian Keratin Care Hair Repair Mask, 1000ml","Spa Line Protein Brazilian Keratin Care Hair Repair Mask, 1000ml",2499,2999,Hair Care,0,spamask1.png,spamask2.png,
Spa Line Brazilian Keratin Protein Hair Conditioner 900ml,Spa Line Brazilian Keratin Protein Hair Conditioner 900ml,2199,2599,Hair Care,0,condi1.png,condi2.png,
Spa Line Olive Hair Mask,Spa Line Olive Hair Mask,1599,1999,Hair Care,0,olive1.png,,"Repairs and nourishes damaged hair

Contains 650g of product

Infused with olive oil for added hydration

Suitable for all hair types

Ideal for use as a weekly treatment"
Spa Line Keratin Care Hair Serum 100ml,Spa Line Keratin Care Hair Serum 100ml,1399,1799,Hair Care,0,hairserum1.png,,"Spa Line By Glamorous Face's Keratin Care Hair Serum infused with Argan oil is designed to provide a combination of keratin and the nourishing properties of Argan oil to promote healthy, shiny, and manageable hair.

 

1. Keratin Infusion: This serum contains keratin, a protein naturally found in hair, which helps strengthen and fortify the hair structure. It can aid in reducing hair damage and breakage, resulting in smoother and more resilient hair.

2. Argan Oil Nourishment: Argan oil is a lightweight, non-greasy oil that is rich in essential fatty acids, vitamins, and antioxidants. It helps to moisturize and hydrate the hair, making it softer and more manageable. Argan oil also provides a natural shine to the hair.

3. Frizz Control: The combination of keratin and Argan oil can work together to control frizz and tame unruly hair, leaving it looking smoother and more polished.

4. Heat Protection: Many serums with Argan oil also offer heat protection, which is crucial if you use heat styling tools frequently. This feature helps safeguard your hair from damage caused by styling with hot tools.

5. Split End Prevention: Some serums claim to prevent split ends or help repair existing ones. Argan oil can help seal the cuticle, reducing the likelihood of split ends and improving the overall appearance of your hair.

6. Shine Enhancement: The presence of Argan oil can enhance the natural shine of your hair, making it look healthier and more lustrous.

7. UV Protection: Certain formulations may include UV protection to shield your hair from the sun's harmful rays, preventing damage and color fading.

Spa Line By Glamorous Face's Keratin Care Hair Serum infused with Argan oil is designed to provide a combination of keratin and the nourishing properties of Argan oil to promote healthy, shiny, and manageable hair.

 

1. Keratin Infusion: This serum contains keratin, a protein naturally found in hair, which helps strengthen and fortify the hair structure. It can aid in reducing hair damage and breakage, resulting in smoother and more resilient hair.

2. Argan Oil Nourishment: Argan oil is a lightweight, non-greasy oil that is rich in essential fatty acids, vitamins, and antioxidants. It helps to moisturize and hydrate the hair, making it softer and more manageable. Argan oil also provides a natural shine to the hair.

3. Frizz Control: The combination of keratin and Argan oil can work together to control frizz and tame unruly hair, leaving it looking smoother and more polished.

4. Heat Protection: Many serums with Argan oil also offer heat protection, which is crucial if you use heat styling tools frequently. This feature helps safeguard your hair from damage caused by styling with hot tools.

5. Split End Prevention: Some serums claim to prevent split ends or help repair existing ones. Argan oil can help seal the cuticle, reducing the likelihood of split ends and improving the overall appearance of your hair.

6. Shine Enhancement: The presence of Argan oil can enhance the natural shine of your hair, making it look healthier and more lustrous.

7. UV Protection: Certain formulations may include UV protection to shield your hair from the sun's harmful rays, preventing damage and color fading."
Sadoer Plant Ginger Hair care set,Sadoer Plant Ginger Hair care set,1499,1999,Hair Care,0,ginger1.png,"ginger1.png, ginger2.png",
SADOER Ginger Nutrition Hair Mask,SADOER Ginger Nutrition Hair Mask,1399,1899,Hair Care,0,gingerhair1.png,"gingerhair2.png, gingerhair3.png",
Argan Oil Sulfate Free Shampoo 400ML,Argan Oil Sulfate Free Shampoo 400ML,1899,2499,Hair Care,0,argan1.png,argan2.png,
Dexe Argan Oil From Morocco Shampoo | Infuses hair with argan oil for moisture and shine | 400ml,Dexe Argan Oil From Morocco Shampoo | Infuses hair with argan oil for moisture and shine | 400ml,1399,1799,Hair Care,0,dexe1.jpeg,,
nova hair styling mousse,nova hair styling mousse,799,1199,Hair Care,0,nova1.jpeg,,
Nova Gold Hair Spray For Unisex - 400 ml,Nova Gold Hair Spray For Unisex - 400 ml,699,1299,Hair Care,0,novagold1.jpeg,,"Quantity : 400 ml 
 For All Hair Types
Size - 400 ml
Hair styling spray
For All Hair Types
Super Hold Hairspray
Long Lasting - Gives Life To Hair
Firm look - Construing The Effect of Vogue.
Shake before use, spray the hair as needed
Unisex : Suitable For Both Male's & Female's"
BIOAQUA Honey Peach Acid Exfoliating Cream - Gentle Peeling & Pore Clearing Gel Cream - 140g,BIOAQUA Honey Peach Acid Exfoliating Cream - Gentle Peeling & Pore Clearing Gel Cream - 140g,749,1199,Skin Care,0,honey1.jpeg,"honey2.jpeg, honey3.jpeg","Product Name: Honey Peach Acid Exfoliating Cream
Net Weight: 140g
Key Ingredients: Peach Fruit Extract, Malic Acid, Ginseng Root Extract, Hyaluronic Acid
Skin Type: All Skin Types (Including Sensitive)
Functions: Exfoliating, Pore Cleansing, Brightening, Moisturizing
Texture: Gel Cream
Gender: Unisex
Model Number: BQY72646 / BQY07803
How to Use
Dampen Skin: Apply to wet or dry skin (dry for deeper exfoliation)
Massage: Gently massage in circular motions, focusing on T-zone and nose
Rinse: Wash off with warm water
Frequency: Use 1-2 times weekly for best results."
SADOER OATS Amino Acid,SADOER OATS Amino Acid,1399,1899,Private Care,0,amino1.jpeg,,
SADOER OATS Whitening cream,SADOER OATS Whitening cream,1499,1899,Private Care,0,oatcream1.jpeg,,
Bioaqua Mango Extract Firming Neck Cream,Bioaqua Mango Extract Firming Neck Cream,999,1599,Skin Care,0,mango1.png,mango2.png,
"Sadoer Breast Enlarging Cream 60g – Firming, Lifting & Shaping Care","Sadoer Breast Enlarging Cream 60g – Firming, Lifting & Shaping Care",1649,2199,Private Care,0,breast1.jpeg,,"Sadoer Breast Enlarging Cream 60g is specially formulated to help women achieve firmer, fuller, and more lifted busts through a natural and nourishing approach. Enriched with herbal and skin-nourishing ingredients, this cream supports elasticity, improves bust contour, and promotes smoother, softer skin.

The cream works by deeply hydrating and stimulating the bust area to enhance firmness while supporting natural enlargement. Regular use helps reduce sagging, tightens the skin, and restores youthful appearance and confidence. Its lightweight texture absorbs quickly into the skin without leaving greasiness, making it suitable for daily application.

Sadoer Breast Enlarging Cream is designed not only for shaping but also for nourishing. The herbal-based formulation moisturizes delicate skin, reduces dryness, and provides essential care for a more attractive bust line. With consistent use, it may help improve bust tone and contour while maintaining natural skin softness.

This cream is safe for at-home use and can be easily incorporated into a daily beauty routine. It is suitable for women who wish to enhance bust shape naturally without invasive methods."
Sadoer Plump Round Breasts Cream 60gm,Sadoer Plump Round Breasts Cream 60gm,1649,2199,Private Care,0,enlarging1.jpeg,,
Breast Serum Mild Formula Non Irritation Moisturize Tender Chest SADOER Enlarging Breast Serum,Breast Serum Mild Formula Non Irritation Moisturize Tender Chest SADOER Enlarging Breast Serum,1649,2199,Private Care,0,essence1.jpeg,,
Sadoer Breast Enlargement Essential Oil,Sadoer Breast Enlargement Essential Oil,1399,1899,Private Care,0,plump1.png,plump2.png,
SADOER Breast Enhancement Roll-On Cream 20g,SADOER Breast Enhancement Roll-On Cream 20g,1299,1599,Private Care,0,roll1.jpeg,,
Rice Raw PuLP BODY LOTION BIOAOUA,Rice Raw PuLP BODY LOTION BIOAOUA,1499,1999,Skin Care,0,pulp1.jpeg,"pulp2.jpeg, pulp3.jpeg",
Zoeva 15 Piece Makeup Brushes With Pouch,Zoeva 15 Piece Makeup Brushes With Pouch,1299,1799,Cosmetics,Makeup Brushes,zogva1.jpeg,zogva2.jpeg,